"Date","Price","Open","High","Low","Vol.","Change %"
"08/03/2021","672.00","672.00","672.00","672.00","","0.90%"
"05/03/2021","666.00","666.00","666.00","666.00","","-0.30%"
"04/03/2021","668.00","668.00","668.00","668.00","","0.15%"
"03/03/2021","667.00","667.00","667.00","667.00","","-0.60%"
"02/03/2021","671.00","671.00","671.00","671.00","","0.45%"
"01/03/2021","668.00","668.00","668.00","668.00","","-0.15%"
"26/02/2021","669.00","669.00","669.00","669.00","","0.00%"
"25/02/2021","669.00","669.00","669.00","669.00","","0.15%"
"24/02/2021","668.00","668.00","668.00","668.00","","0.75%"
"23/02/2021","663.00","663.00","663.00","663.00","","1.84%"
"22/02/2021","651.00","651.00","651.00","651.00","","1.88%"
"19/02/2021","639.00","639.00","639.00","639.00","","1.91%"
"18/02/2021","627.00","627.00","627.00","627.00","","4.15%"
"17/02/2021","602.00","602.00","602.00","602.00","","2.21%"
"16/02/2021","589.00","589.00","589.00","589.00","","7.09%"
"15/02/2021","550.00","550.00","550.00","550.00","","2.04%"
"12/02/2021","539.00","539.00","539.00","539.00","","3.85%"
"11/02/2021","519.00","519.00","519.00","519.00","","1.76%"
"10/02/2021","510.00","510.00","510.00","510.00","","2.62%"
"09/02/2021","497.00","497.00","497.00","497.00","","0.40%"
"08/02/2021","495.00","495.00","495.00","495.00","","-0.20%"
"05/02/2021","496.00","496.00","496.00","496.00","","0.00%"
"04/02/2021","496.00","496.00","496.00","496.00","","-0.20%"
"03/02/2021","497.00","497.00","497.00","497.00","","-1.78%"
"02/02/2021","506.00","506.00","506.00","506.00","","-1.75%"
"01/02/2021","515.00","515.00","515.00","515.00","","-0.39%"
"29/01/2021","517.00","517.00","517.00","517.00","","-0.77%"
"28/01/2021","521.00","521.00","521.00","521.00","","0.00%"
"27/01/2021","521.00","521.00","521.00","521.00","","0.19%"
"26/01/2021","520.00","520.00","520.00","520.00","","0.19%"
"25/01/2021","519.00","519.00","519.00","519.00","","1.37%"
"22/01/2021","512.00","512.00","512.00","512.00","","1.39%"
"21/01/2021","505.00","505.00","505.00","505.00","","1.41%"
"20/01/2021","498.00","498.00","498.00","498.00","","0.40%"
"19/01/2021","496.00","496.00","496.00","496.00","","0.81%"
"18/01/2021","492.00","492.00","492.00","492.00","","-0.20%"
"15/01/2021","493.00","493.00","493.00","493.00","","-0.60%"
"14/01/2021","496.00","496.00","496.00","496.00","","-0.80%"
"13/01/2021","500.00","500.00","500.00","500.00","","-0.99%"
"12/01/2021","505.00","505.00","505.00","505.00","","-1.17%"
"11/01/2021","511.00","511.00","511.00","511.00","","-1.73%"
"08/01/2021","520.00","520.00","520.00","520.00","","-0.76%"
"07/01/2021","524.00","524.00","524.00","524.00","","-1.69%"
"06/01/2021","533.00","533.00","533.00","533.00","","-1.30%"
"05/01/2021","540.00","540.00","540.00","540.00","","-0.55%"
"04/01/2021","543.00","543.00","543.00","543.00","","16.52%"
"24/12/2020","466.00","466.00","466.00","466.00","","0.00%"
"23/12/2020","466.00","466.00","466.00","466.00","","-0.43%"
"22/12/2020","468.00","468.00","468.00","468.00","","1.52%"
"21/12/2020","461.00","461.00","461.00","461.00","","1.10%"
"18/12/2020","456.00","456.00","456.00","456.00","","0.66%"
"17/12/2020","453.00","453.00","453.00","453.00","","3.19%"
